Author,"Burroughs, Edgar Rice, 1875-1950"
Title,The Son of Tarzan
Language,English
LoC Class,"PZ: Language and Literatures: Juvenile belles lettres, PS: Language and Literatures: American and Canadian literature"
Subject,"Tarzan (Fictitious character) -- Fiction, Fantasy fiction, Adventure stories"
Category,Sound
EBook-No.,8754
Release Date,"Aug 1, 2005"
Copyright Status,Copyrighted. Read the copyright notice inside this book for details.
Downloads,52 downloads in the last 30 days.
Price,$0.00
